jobID,Degree,Experience,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10,Skill11,Skill12,Skill13,Skill14,Skill15,Skill16,Skill17,Skill18,Skill19,Skill20,Skill21,Skill22,Skill23,Skill24,Skill25,Skill26,Skill27,Skill28,Skill29
3888466320,,2.0,python,spark,azure,gcp,sql,,,,,,,,,,,,,,,,,,,,,,,,
3925392242,,,collaborative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943051252,,5.0,python,tableau,pyspark,alteryx,databricks,sql,,,,,,,,,,,,,,,,,,,,,,,
3927865757,,,docker,tensorflow,kubernetes,pytorch,,,,,,,,,,,,,,,,,,,,,,,,,
3942237435,graduate,,python,postgresql,analytical,snowflake,big data,redshift,aws,sql,,,,,,,,,,,,,,,,,,,,,
3864951966,,8.0,python,communication,scala,gcp,snowflake,aws,collaboration,azure,sql,,,,,,,,,,,,,,,,,,,,
3816718790,,8.0,python,data factory,scala,snowflake,spark,azure,databricks,sql,,,,,,,,,,,,,,,,,,,,,
3916595822,,3.0,python,presto,hive,adaptable,snowflake,sql,,,,,,,,,,,,,,,,,,,,,,,
3940318221,,,snowflake,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3925152102,,5.0,python,spark,presto,hive,big data,sql,,,,,,,,,,,,,,,,,,,,,,,
3853893268,undergraduate,2.0,python,data factory,java,pyspark,communication,unix,spark,delta lake,azure,databricks,etl processing,sql,,,,,,,,,,,,,,,,,
3944683160,,3.0,python,data structures,data factory,pyspark,power bi,communication,big data,machine learning,devops,azure,analytical,interpersonal skills,sql,,,,,,,,,,,,,,,,
3931509980,,5.0,python,scipy,java,pandas,gcp,aws,azure,numpy,matplotlib,sql,,,,,,,,,,,,,,,,,,,
3764699747,,1.0,python,communication,snowflake,sql,,,,,,,,,,,,,,,,,,,,,,,,,
3905972379,undergraduate,,python,communication,git,redshift,aws,snowflake,devops,version control,sql,,,,,,,,,,,,,,,,,,,,
3941300462,,4.0,python,pyspark,azure,databricks,sql,,,,,,,,,,,,,,,,,,,,,,,,
3888462958,undergraduate,10.0,python,azure,big data,aws,sql,,,,,,,,,,,,,,,,,,,,,,,,
3887034145,,,python,java,scala,big data,snowflake,aws,spark,presto,databricks,sql,,,,,,,,,,,,,,,,,,,
3920294267,undergraduate,2.0,azure,python,,,,,,,,,,,,,,,,,,,,,,,,,,,
3882871833,,5.0,python,pyspark,databricks,redshift,snowflake,sql,,,,,,,,,,,,,,,,,,,,,,,
3940300713,,,spark,aws,azure,databricks,snowflake,sql,,,,,,,,,,,,,,,,,,,,,,,
3865641943,,,mentoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3906941157,,10.0,python,java,communication,big data,aws,collaborative,adaptability,sql,,,,,,,,,,,,,,,,,,,,,
3940006546,,,javascript,written communication,communication,html,sql,,,,,,,,,,,,,,,,,,,,,,,,
3829140464,undergraduate,4.0,python,azure,power bi,git,snowflake,aws,sql,,,,,,,,,,,,,,,,,,,,,,
3720035321,,2.0,python,spark,hadoop,scala,aws,sql,,,,,,,,,,,,,,,,,,,,,,,
3829226866,,5.0,python,ci/cd,pyspark,testing,git,gcp,spark,delta lake,sql,,,,,,,,,,,,,,,,,,,,
3816722419,,8.0,python,data factory,scala,snowflake,spark,azure,databricks,sql,,,,,,,,,,,,,,,,,,,,,
3707107404,,2.0,python,spark,hadoop,scala,aws,sql,,,,,,,,,,,,,,,,,,,,,,,
3939795704,,1.0,team player,communication,interpersonal skills,self-motivated,written communication,,,,,,,,,,,,,,,,,,,,,,,,
3949458068,,7.0,python,proactive,rest,postgresql,communication,json,aws,sql,,,,,,,,,,,,,,,,,,,,,
3888467428,,10.0,scrum,spark,version control,communication,problem solving,git,aws,sql,,,,,,,,,,,,,,,,,,,,,
3917543110,,4.0,python,aws,sql,,,,,,,,,,,,,,,,,,,,,,,,,,
3934993440,,,python,big data,aws,distributed systems,bigquery,security,gcp,sql,,,,,,,,,,,,,,,,,,,,,
3919924261,,,python,communication,aws,sql,,,,,,,,,,,,,,,,,,,,,,,,,
3934997805,,8.0,python,collaboration,aws,communication,bigquery,snowflake,sql,,,,,,,,,,,,,,,,,,,,,,
3902896036,,10.0,power bi,spark,delta lake,oracle,azure,analytical,databricks,presentation,sql,,,,,,,,,,,,,,,,,,,,
3888492448,undergraduate,2.0,sql,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3934974220,undergraduate,2.0,analytical,mysql,teamwork,communication,,,,,,,,,,,,,,,,,,,,,,,,,
3888463893,,10.0,scrum,spark,version control,communication,problem solving,git,aws,sql,,,,,,,,,,,,,,,,,,,,,
3948417150,,4.0,sisense,scrum,teamwork,tableau,analytical,communication,detail-oriented,sql,,,,,,,,,,,,,,,,,,,,,
3945917538,,5.0,python,data factory,postgresql,jira,encryption,testing,security,devops,confluence,azure,,,,,,,,,,,,,,,,,,,
3946496193,,,python,leadership,analytical,java,team player,git,big data,spark,hadoop,mysql,kotlin,sql,,,,,,,,,,,,,,,,,
3942452023,,,python,ci/cd,scala,git,aws,snowflake,spark,delta lake,version control,azure,databricks,sql,,,,,,,,,,,,,,,,,
3945027227,,,xml,microsoft excel,power bi,problem solving,json,linux,aws,time management,detail-oriented,analytical,powershell,operating systems,sql,,,,,,,,,,,,,,,,
3900219926,,,python,redshift,pyspark,aws,,,,,,,,,,,,,,,,,,,,,,,,,
3920687652,,8.0,python,tableau,analytical,communication,self-motivated,machine learning,detail-oriented,sql,,,,,,,,,,,,,,,,,,,,,
3896434318,,,python,communication,gcp,self-motivated,security,aws,jupyter,spark,tableau,azure,databricks,presentation,verbal communication,sql,,,,,,,,,,,,,,,
3901913956,,,python,java,communication,scala,big data,gcp,aws,spark,azure,databricks,,,,,,,,,,,,,,,,,,,
3907956471,,,rest,react,javascript,communication,testing,soap,time management,,,,,,,,,,,,,,,,,,,,,,
3945800129,,,postgresql,jira,communication,gcp,aws,collaborative,collaboration,azure,mysql,,,,,,,,,,,,,,,,,,,,
3888463964,,5.0,npm,react,java,ci/cd,jira,team player,angular,git,communication,written communication,collaborative,javascript,debugging,analytical,interpersonal skills,,,,,,,,,,,,,,
3927588709,,,rest,postgresql,azure,communication,gcp,typescript,aws,graphql,,,,,,,,,,,,,,,,,,,,,
3927589657,,,rest,postgresql,azure,communication,gcp,typescript,aws,graphql,,,,,,,,,,,,,,,,,,,,,
3938822819,,,communication,react,time management,,,,,,,,,,,,,,,,,,,,,,,,,,
3927123113,,,html,webpack,react,ci/cd,jest,unit tests,playwright,git,jenkins,typescript,testing,javascript,babel,tailwind css,css,,,,,,,,,,,,,,
3951646091,,,python,fastapi,react,django,typescript,aws,sql,,,,,,,,,,,,,,,,,,,,,,
3947294287,,,python,react,javascript,typescript,next.js,,,,,,,,,,,,,,,,,,,,,,,,
3888466434,,,react,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3948858588,,,postgresql,jira,communication,gcp,aws,collaborative,collaboration,azure,mysql,,,,,,,,,,,,,,,,,,,,
3846049110,,,figma,java,vue,docker,git,jest,testing,typescript,kubernetes,unix,mentoring,rest,sql,,,,,,,,,,,,,,,,
3949889008,,3.0,communication,collaborative,security,verbal communication,,,,,,,,,,,,,,,,,,,,,,,,,
3912435618,,,python,fastapi,leadership,ci/cd,postgresql,communication,typescript,next.js,snowflake,,,,,,,,,,,,,,,,,,,,
3946507640,,2.0,react,java,angular,spring,communication,security,node.js,proactive,javascript,http,asp.net,interpersonal skills,,,,,,,,,,,,,,,,,
3950508162,,2.0,npm,git,sass,typescript,php,javascript,version control,mysql,css,,,,,,,,,,,,,,,,,,,,
3936533798,undergraduate,3.0,asp.net,react,communication,sql,,,,,,,,,,,,,,,,,,,,,,,,,
3920051015,,5.0,python,javascript,react,aws,,,,,,,,,,,,,,,,,,,,,,,,,
3918984747,,,angular,java,,,,,,,,,,,,,,,,,,,,,,,,,,,
3905976025,,3.0,react,express,docker,angular,umbraco,gcp,typescript,aws,azure,,,,,,,,,,,,,,,,,,,,
3921389674,,8.0,java,xml,playwright,typescript,rest,javascript,protractor,sql,python,interpersonal skills,ci/cd,jest,angular,jenkins,json,soap,devops,azure,cypress,,,,,,,,,,
3912062747,,3.0,tableau,bigquery,snowflake,,,,,,,,,,,,,,,,,,,,,,,,,,
3943507741,undergraduate,5.0,python,d3.js,javascript,react,,,,,,,,,,,,,,,,,,,,,,,,,
3938974326,graduate,,react,java,css,testing,gcp,kubernetes,typescript,aws,scrum,kotlin,html,,,,,,,,,,,,,,,,,,
3949878707,undergraduate,6.0,html,react,ci/cd,angular,git,flutter,javascript,jquery,azure,css,sql,,,,,,,,,,,,,,,,,,
3945843460,postgraduate,,react,java,javascript,testing,node.js,angular,,,,,,,,,,,,,,,,,,,,,,,
3692560838,undergraduate,,typescript,linux,jira,sql,,,,,,,,,,,,,,,,,,,,,,,,,
3947713249,,5.0,javascript,jquery,communication,testing,css,sql,,,,,,,,,,,,,,,,,,,,,,,
3938443805,,,team player,analytical,communication,interpersonal skills,negotiation,written communication,,,,,,,,,,,,,,,,,,,,,,,
3945843459,postgraduate,,react,java,javascript,testing,node.js,angular,,,,,,,,,,,,,,,,,,,,,,,
3937732473,,5.0,ci/cd,react,java,cassandra,testing,spring,git,security,gcp,aws,soap,rest,javascript,azure,mongodb,powershell,bash,sql,,,,,,,,,,,
3923188415,,,react,redux,rails,jest,graphql,node.js,ruby,css,,,,,,,,,,,,,,,,,,,,,
3837056403,,4.0,figma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923663591,,,aws,graphql,,,,,,,,,,,,,,,,,,,,,,,,,,,
3940001287,,,python,networking,linux,git,bash,,,,,,,,,,,,,,,,,,,,,,,,
3946695062,,,angular,rest,selenium,testing,kubernetes,,,,,,,,,,,,,,,,,,,,,,,,
3901364794,,3.0,ci/cd,java,react,jest,spring,security,kubernetes,es6,application security,typescript,rest,babel,mongodb,protractor,,,,,,,,,,,,,,,
3911360441,,5.0,python,react,javascript,presentation,machine learning,,,,,,,,,,,,,,,,,,,,,,,,
3888447289,,3.0,python,algorithms,data structures,tcp/ip,git,oop,sql,,,,,,,,,,,,,,,,,,,,,,
